ID,Words,POS,Position,Condition,Prob of coming after,Prob of coming bef,,POSbef,Probbef,,POSaft,Probaft,,replace,for
1,La,DET,1,normal,,0.555390947,,ADJADJ,0.011968085,,ADJADJ,0.016978417,,NOM:trc,NOM
1,chambre,NOU,2,normal,0.790606201,0.024923632,,ADJADV,0.025810324,,ADJADV,0.071366906,,NAM,NOM
1,sera,VER,3,normal,0.032714167,0.430972389,,ADJDET,0.008945611,,ADJDET,0.025611511,,NOM:sig,NOM
1,mal,ADV,4,normal,0.237261252,0.06095529,,ADJINT,0.054418985,,ADJINT,0.085755396,,NUM,ADJ
1,organisée,VER,5,normal,0.101409101,,,ADJCON,0.09208245,,ADJCON,0.160863309,,ADJ:trc,ADJ
2,La,DET,1,normal,,0.555390947,,ADJNOU,0.056296296,,ADJNOU,0.414676259,,AUX:cond,AUX
2,fille,NOU,2,normal,0.790606201,0.147968044,,ADJPRO,0.022519393,,ADJPRO,0.127482014,,AUX:futu,AUX
2,se,PRO,3,normal,0.231217078,0.766592613,,ADJPRP,0.031561027,,ADJPRP,0.089784173,,AUX:impf,AUX
2,lève,VER,4,normal,0.656324299,0.430972389,,ADJVER,0.001457928,,ADJVER,0.007482014,,AUX:infi,AUX
2,tôt,ADV,5,normal,0.237261252,,,ADVADJ,0.161170213,,ADVADJ,0.062832063,,AUX:pper,AUX
3,Son,DET,1,normal,,0.555390947,,ADVADV,0.1484994,,ADVADV,0.142873643,,AUX:ppre,AUX
3,cadeau,NOU,2,normal,0.790606201,0.147968044,,ADVDET,0.098520992,,ADVDET,0.095403095,,AUX:pres,AUX
3,me,PRO,3,normal,0.231217078,0.766592613,,ADVINT,0.178805237,,ADVINT,0.100947101,,AUX:subp,AUX
3,rend,VER,4,normal,0.656324299,0.241223404,,ADVCON,0.144866114,,ADVCON,0.086856087,,EPE,DET
3,heureux,ADJ,5,normal,0.042561628,,,ADVNOU,0.014567901,,ADVNOU,0.027604528,,DET:art,DET
4,Les,DET,1,normal,,0.555390947,,ADVPRO,0.122148894,,ADVPRO,0.243705244,,DET:def,DET
4,cloches,NOU,2,normal,0.790606201,0.024923632,,ADVPRP,0.156888423,,ADVPRP,0.138369138,,DET:dem,DET
4,ont,VER,3,normal,0.032714167,0.070952513,,ADVVER,0.06095529,,ADVVER,0.101409101,,DET:ind,DET
4,sonné,VER,4,normal,0.067543454,0.430972389,,DETADJ,0.211702128,,DETADJ,0.082137899,,DET:int,DET
4,longtemps,ADV,5,normal,0.237261252,,,DETADV,0.013205282,,DETADV,0.01272559,,DET:par,DET
5,Les,DET,1,normal,,0.555390947,,DETDET,0.070252863,,DETDET,0.06813975,,DET:pos,DET
5,minutes,NOU,2,normal,0.790606201,0.024923632,,DETINT,0.011865794,,DETINT,0.006709857,,DET:pre,DET
5,étaient,VER,3,normal,0.032714167,0.070952513,,DETCON,0.005008669,,DETCON,0.003007867,,PRO:per,PRO
5,passées,VER,4,normal,0.067543454,0.430972389,,DETNOU,0.555390947,,DETNOU,0.790606201,,PRO:clo,PRO
5,rapidement,ADV,5,normal,0.237261252,,,DETPRO,0.011635985,,DETPRO,0.023253124,,PRO:cls,PRO
6,Des,PRP,1,normal,,0.228559671,,DETPRP,0.013357779,,DETPRP,0.011800093,,PRO:clsi,PRO
6,clés,NOU,2,normal,0.39370683,0.147968044,,DETVER,0.000971952,,DETVER,0.001619621,,PRO:dem,PRO
6,se,PRO,3,normal,0.231217078,0.766592613,,INTADJ,0.030319149,,INTADJ,0.012327311,,PRO:ind,PRO
6,perdent,VER,4,normal,0.656324299,0.430972389,,INTADV,0.075030012,,INTADV,0.132837407,,PRO:int,PRO
6,facilement,ADV,5,normal,0.237261252,,,INTDET,0.058444656,,INTDET,0.104144527,,PRO:pos,PRO
7,Ses,DET,1,normal,,0.555390947,,INTINT,0.11497545,,INTINT,0.119447396,,PRO:rel,PRO
7,photos,NOU,2,normal,0.790606201,0.024923632,,INTCON,0.091889809,,INTCON,0.101381509,,PRO:ton,PRO
7,auraient,VER,3,normal,0.032714167,0.070952513,,INTNOU,0.011687243,,INTNOU,0.042082891,,VER:cond,VER
7,été,VER,4,normal,0.067543454,0.241223404,,INTPRO,0.097140211,,INTPRO,0.35664187,,VER:futu,VER
7,jolies,ADJ,5,normal,0.042561628,,,INTPRP,0.059717129,,INTPRP,0.096918172,,VER:impe,VER
8,Tes,DET,1,normal,,0.555390947,,INTVER,0.011177451,,INTVER,0.034218916,,VER:impf,VER
8,chats,NOU,2,normal,0.790606201,0.024923632,,CONADJ,0.028191489,,CONADJ,0.005217977,,VER:infi,VER
8,ont,VER,3,normal,0.032714167,0.430972389,,CONADV,0.086434574,,CONADV,0.121191719,,VER:pper,VER
8,beaucoup,ADV,4,normal,0.237261252,0.06095529,,CONDET,0.069895038,,CONDET,0.098636593,,VER:ppre,VER
8,mangé,VER,5,normal,0.101409101,,,CONINT,0.126022913,,CONINT,0.103686248,,VER:pres,VER
9,Le,DET,1,normal,,0.555390947,,CONCON,0.065112695,,CONCON,0.056892779,,VER:simp,VER
9,skieur,NOU,2,normal,0.790606201,0.024923632,,CONNOU,0.014567901,,CONNOU,0.042417101,,VER:subi,VER
9,est,VER,3,normal,0.032714167,0.430972389,,CONPRO,0.172860947,,CONPRO,0.502608988,,VER:subp,VER
9,sincèrement,ADV,4,normal,0.237261252,0.06095529,,CONPRP,0.044656888,,CONPRP,0.057397744,,VER:trc,VER
9,désolé,VER,5,normal,0.101409101,,,CONVER,0.004929186,,CONVER,0.01195085,,PRP:det,PRP
10,Les,DET,1,normal,,0.555390947,,NOUADJ,0.202393617,,NOUADJ,0.050827095,,PRP:int,PRP
10,maisons,NOU,2,normal,0.790606201,0.024923632,,NOUADV,0.154021609,,NOUADV,0.115516126,,,
10,ont,VER,3,normal,0.032714167,0.070952513,,NOUDET,0.055701336,,NOUDET,0.041863044,,,
10,été,VER,4,normal,0.067543454,0.070952513,,NOUINT,0.240589198,,NOUINT,0.105720359,,,
10,détruites,VER,5,normal,0.067543454,,,NOUCON,0.300712772,,NOUCON,0.136771093,,,
11,Un,DET,1,normal,,0.555390947,,NOUNOU,0.085514403,,NOUNOU,0.04426578,,,
11,homme,NOU,2,normal,0.790606201,0.024923632,,NOUPRO,0.147968044,,NOUPRO,0.231217078,,,
11,avait,VER,3,normal,0.032714167,0.070952513,,NOUPRP,0.350969094,,NOUPRP,0.241105258,,,
11,chanté,VER,4,normal,0.067543454,0.430972389,,NOUVER,0.024923632,,NOUVER,0.032714167,,,
11,fort,ADV,5,normal,0.237261252,,,PROADJ,0.004787234,,PROADJ,0.00053495,,,
12,Cette,PRO,1,normal,,0.004197531,,PROADV,0.045738295,,PROADV,0.02264622,,,
12,dame,NOU,2,normal,0.003566334,0.024923632,,PRODET,0.016698473,,PRODET,0.008321446,,,
12,aurait,VER,3,normal,0.032714167,0.070952513,,PROINT,0.039689034,,PROINT,0.011531146,,,
12,vu,VER,4,normal,0.067543454,0.430972389,,PROCON,0.050471971,,PROCON,0.015572991,,,
12,loin,ADV,5,normal,0.237261252,,,PRONOU,0.004197531,,PRONOU,0.003566334,,,
13,Ce,PRO,1,normal,,0.004197531,,PROPRO,0.261433368,,PROPRO,0.268426058,,,
13,signe,NOU,2,normal,0.003566334,0.147968044,,PROPRP,0.028810896,,PROPRP,0.013076557,,,
13,se,PRO,3,normal,0.231217078,0.766592613,,PROVER,0.766592613,,PROVER,0.656324299,,,
13,reconnaît,VER,4,normal,0.656324299,0.430972389,,PRPADJ,0.108244681,,PRPADJ,0.013558455,,,
13,maintenant,ADV,5,normal,0.237261252,,,PRPADV,0.020288115,,PRPADV,0.021616782,,,
14,Sa,DET,1,normal,,0.555390947,,PRPDET,0.274689885,,PRPDET,0.294576618,,,
14,veste,NOU,2,normal,0.790606201,0.147968044,,PRPINT,0.038666121,,PRPINT,0.024174981,,,
14,me,PRO,3,normal,0.231217078,0.766592613,,PRPCON,0.009439414,,PRPCON,0.006267588,,,
14,va,VER,4,normal,0.656324299,0.430972389,,PRPNOU,0.228559671,,PRPNOU,0.39370683,,,
14,bien,ADV,5,normal,0.237261252,,,PRPPRO,0.04052333,,PRPPRO,0.089536966,,,
15,Ses,DET,1,normal,,0.555390947,,PRPPRP,0.050811943,,PRPPRP,0.049629061,,,
15,attentions,NOU,2,normal,0.790606201,0.147968044,,PRPVER,0.058039433,,PRPVER,0.106932719,,,
15,lui,PRO,3,normal,0.231217078,0.766592613,,VERADJ,0.241223404,,VERADJ,0.042561628,,,
15,font,VER,4,normal,0.656324299,0.029218107,,VERADV,0.430972389,,VERADV,0.237261252,,,
15,plaisir,NOU,5,normal,0.040843302,,,VERDET,0.346851145,,VERDET,0.192188223,,,
16,Mon,DET,1,normal,,0.555390947,,VERINT,0.194967267,,VERINT,0.062983279,,,
16,copain,NOU,2,normal,0.790606201,0.024923632,,VERCON,0.240416105,,VERCON,0.082479677,,,
16,était,VER,3,normal,0.032714167,0.070952513,,VERNOU,0.029218107,,VERNOU,0.040843302,,,
16,parti,VER,4,normal,0.067543454,0.070952513,,VERPRO,0.123769827,,VERPRO,0.141299319,,,
16,hier,VER,5,normal,0.067543454,,,VERPRP,0.26322682,,VERPRP,0.132839865,,,
17,Tes,DET,1,normal,,0.555390947,,VERVER,0.070952513,,VERVER,0.067543454,,,
17,amis,NOU,2,normal,0.790606201,0.147968044,,,,,,,,,
17,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
17,voient,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
17,souvent,ADV,5,normal,0.237261252,,,,,,,,,,
18,Quelques,PRO,1,normal,,0.004197531,,,,,,,,,
18,livres,NOU,2,normal,0.003566334,0.024923632,,,,,,,,,
18,ont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
18,brûlés,VER,4,normal,0.067543454,0.240416105,,,,,,,,,
18,sinon,CON,5,normal,0.082479677,,,,,,,,,,
19,Certains,PRO,1,normal,,0.004197531,,,,,,,,,
19,portraits,NOU,2,normal,0.003566334,0.147968044,,,,,,,,,
19,me,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
19,représentent,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
19,vraiment,ADV,5,normal,0.237261252,,,,,,,,,,
20,La,DET,1,normal,,0.555390947,,,,,,,,,
20,porte,NOU,2,normal,0.790606201,0.147968044,,,,,,,,,
20,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
20,ferme,VER,4,normal,0.656324299,0.241223404,,,,,,,,,
20,seule,ADJ,5,normal,0.042561628,,,,,,,,,,
21,Le,DET,1,normal,,0.555390947,,,,,,,,,
21,travail,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
21,avait,VER,3,normal,0.032714167,0.430972389,,,,,,,,,
21,beaucoup,ADV,4,normal,0.237261252,0.06095529,,,,,,,,,
21,fatigué,VER,5,normal,0.101409101,,,,,,,,,,
22,Les,DET,1,normal,,0.555390947,,,,,,,,,
22,oiseaux,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
22,ont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
22,sifflé,VER,4,normal,0.067543454,0.430972389,,,,,,,,,
22,joliment,ADV,5,normal,0.237261252,,,,,,,,,,
23,Un,DET,1,normal,,0.555390947,,,,,,,,,
23,papier,NOU,2,normal,0.790606201,0.147968044,,,,,,,,,
23,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
23,déchire,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
23,ici,ADV,5,normal,0.237261252,,,,,,,,,,
24,Une,DET,1,normal,,0.555390947,,,,,,,,,
24,raison,NOU,2,normal,0.790606201,0.147968044,,,,,,,,,
24,le,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
24,tourmente,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
24,trop,ADV,5,normal,0.237261252,,,,,,,,,,
25,Des,PRP,1,normal,,0.228559671,,,,,,,,,
25,gens,NOU,2,normal,0.39370683,0.147968044,,,,,,,,,
25,nous,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
25,amènent,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
25,là,ADV,5,normal,0.237261252,,,,,,,,,,
26,Ce,PRO,1,normal,,0.004197531,,,,,,,,,
26,bateau,NOU,2,normal,0.003566334,0.147968044,,,,,,,,,
26,vous,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
26,convient,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
26,bien,ADV,5,normal,0.237261252,,,,,,,,,,
27,Ces,PRO,1,normal,,0.004197531,,,,,,,,,
27,feuilles,NOU,2,normal,0.003566334,0.024923632,,,,,,,,,
27,sont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
27,tombées,VER,4,normal,0.067543454,0.430972389,,,,,,,,,
27,doucement,ADV,5,normal,0.237261252,,,,,,,,,,
28,Ces,PRO,1,normal,,0.004197531,,,,,,,,,
28,rayons,NOU,2,normal,0.003566334,0.147968044,,,,,,,,,
28,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
28,forment,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
28,ici,ADV,5,normal,0.237261252,,,,,,,,,,
29,Ses,DET,1,normal,,0.555390947,,,,,,,,,
29,pieds,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
29,ont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
29,été,VER,4,normal,0.067543454,0.070952513,,,,,,,,,
29,soignés,VER,5,normal,0.067543454,,,,,,,,,,
30,Ses,DET,1,normal,,0.555390947,,,,,,,,,
30,mains,NOU,2,normal,0.790606201,0.147968044,,,,,,,,,
30,me,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
30,tiennent,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
30,tendrement,ADV,5,normal,0.237261252,,,,,,,,,,
31,Ses,DET,1,normal,,0.555390947,,,,,,,,,
31,affaires,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
31,sont,VER,3,normal,0.032714167,0.430972389,,,,,,,,,
31,correctement,ADV,4,normal,0.237261252,0.06095529,,,,,,,,,
31,tenues,VER,5,normal,0.101409101,,,,,,,,,,
32,Mes,DET,1,normal,,0.555390947,,,,,,,,,
32,livres,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
32,ont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
32,été,VER,4,normal,0.067543454,0.070952513,,,,,,,,,
32,lus,VER,5,normal,0.067543454,,,,,,,,,,
33,Ma,DET,1,normal,,0.555390947,,,,,,,,,
33,couette,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
33,est,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
33,lavée,VER,4,normal,0.067543454,0.430972389,,,,,,,,,
33,aujourd'hui,ADV,5,normal,0.237261252,,,,,,,,,,
34,Mes,DET,1,normal,,0.555390947,,,,,,,,,
34,lettres,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
34,ont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
34,été,VER,4,normal,0.067543454,0.070952513,,,,,,,,,
34,envoyées,VER,5,normal,0.067543454,,,,,,,,,,
35,Ton,DET,1,normal,,0.555390947,,,,,,,,,
35,café,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
35,est,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
35,devenu,VER,4,normal,0.067543454,0.241223404,,,,,,,,,
35,froid,ADJ,5,normal,0.042561628,,,,,,,,,,
36,Ses,DET,1,normal,,0.555390947,,,,,,,,,
36,fleurs,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
36,sont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
36,restées,VER,4,normal,0.067543454,0.241223404,,,,,,,,,
36,belles,ADJ,5,normal,0.042561628,,,,,,,,,,
37,Tes,DET,1,normal,,0.555390947,,,,,,,,,
37,cheveux,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
37,ont,VER,3,normal,0.032714167,0.070952513,,,,,,,,,
37,été,VER,4,normal,0.067543454,0.070952513,,,,,,,,,
37,mouillés,VER,5,normal,0.067543454,,,,,,,,,,
38,Plusieurs,PRO,1,normal,,0.004197531,,,,,,,,,
38,ours,NOU,2,normal,0.003566334,0.147968044,,,,,,,,,
38,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
38,sont,VER,4,normal,0.656324299,0.070952513,,,,,,,,,
38,bousculés,VER,5,normal,0.067543454,,,,,,,,,,
39,Une,DET,1,normal,,0.555390947,,,,,,,,,
39,montagne,NOU,2,normal,0.790606201,0.147968044,,,,,,,,,
39,se,PRO,3,normal,0.231217078,0.766592613,,,,,,,,,
39,monte,VER,4,normal,0.656324299,0.430972389,,,,,,,,,
39,péniblement,ADV,5,normal,0.237261252,,,,,,,,,,
40,Le,DET,1,normal,,0.555390947,,,,,,,,,
40,chaton,NOU,2,normal,0.790606201,0.024923632,,,,,,,,,
40,avait,VER,3,normal,0.032714167,0.430972389,,,,,,,,,
40,bien,ADV,4,normal,0.237261252,0.06095529,,,,,,,,,
40,grandi,VER,5,normal,0.101409101,,,,,,,,,,
41,Parfois,ADV,1,normal,,0.098520992,,,,,,,,,
41,ton,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
41,arbre,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
41,est,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
41,mignon,ADJ,5,normal,0.042561628,,,,,,,,,,
42,Souvent,ADV,1,normal,,0.098520992,,,,,,,,,
42,la,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
42,rivière,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
42,coule,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
42,doucement,ADV,5,normal,0.237261252,,,,,,,,,,
43,Quand,CON,1,normal,,0.069895038,,,,,,,,,
43,les,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
43,cascades,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
43,sont,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
43,bruyantes,ADJ,5,normal,0.042561628,,,,,,,,,,
44,Lorsque,CON,1,normal,,0.069895038,,,,,,,,,
44,le,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
44,mouton,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
44,dort,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
44,longtemps,ADV,5,normal,0.237261252,,,,,,,,,,
45,Alors,ADV,1,normal,,0.122148894,,,,,,,,,
45,cette,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
45,horloge,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
45,tourne,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
45,mal,ADV,5,normal,0.237261252,,,,,,,,,,
46,Comme,ADV,1,normal,,0.122148894,,,,,,,,,
46,ces,PRO,2,normal,0.243705244,0.004197531,,,,,,,,,
46,affiches,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
46,collent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
46,bien,ADV,5,normal,0.237261252,,,,,,,,,,
47,Et,CON,1,normal,,0.069895038,,,,,,,,,
47,un,DET,2,normal,0.098636593,0.555390947,,,,,,,,,
47,trajet,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
47,fatigue,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
47,tellement,ADV,5,normal,0.237261252,,,,,,,,,,
48,Donc,ADV,1,normal,,0.098520992,,,,,,,,,
48,une,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
48,girafe,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
48,mange,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
48,peu,ADV,5,normal,0.237261252,,,,,,,,,,
49,Ainsi,ADV,1,normal,,0.098520992,,,,,,,,,
49,les,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
49,enfants,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
49,dessinent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
49,calmement,ADV,5,normal,0.237261252,,,,,,,,,,
50,Et,CON,1,normal,,0.172860947,,,,,,,,,
50,certains,PRO,2,normal,0.502608988,0.004197531,,,,,,,,,
50,animaux,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
50,vivent,VER,4,normal,0.032714167,0.241223404,,,,,,,,,
50,vieux,ADJ,5,normal,0.042561628,,,,,,,,,,
51,Or,NOU,1,normal,,0.147968044,,,,,,,,,
51,plusieurs,PRO,2,normal,0.231217078,0.004197531,,,,,,,,,
51,rats,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
51,passent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
51,souvent,ADV,5,normal,0.237261252,,,,,,,,,,
52,Car,CON,1,normal,,0.172860947,,,,,,,,,
52,quelques,PRO,2,normal,0.502608988,0.004197531,,,,,,,,,
52,papillons,NOU,3,normal,0.003566334,0.024923632,,,,,,,,,
52,sortent,VER,4,normal,0.032714167,0.430972389,,,,,,,,,
52,ici,ADV,5,normal,0.237261252,,,,,,,,,,
53,Aussi,ADV,1,normal,,0.098520992,,,,,,,,,
53,les,DET,2,normal,0.095403095,0.555390947,,,,,,,,,
53,vestes,NOU,3,normal,0.790606201,0.024923632,,,,,,,,,
